movieId,title,genres,tmdbId,year,clean_title,tmdb_content,content
11,"American President, The (1995)",Comedy|Drama|Romance,9087.0,1995,"American President, The",Michael Douglas Annette Bening Martin Sheen Michael J. Fox Anna Deavere Smith new love usa president the white house class differences widower wildlife conservation lobbyist romantic,"American President, The Comedy Drama Romance 1995 Michael Douglas Annette Bening Martin Sheen Michael J. Fox Anna Deavere Smith new love usa president the white house class differences widower wildlife conservation lobbyist romantic"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12110.0,1995,Dracula: Dead and Loving It,Leslie Nielsen Mel Brooks Amy Yasbeck Peter MacNicol Lysette Anthony vampire satire spoof dracula,Dracula: Dead and Loving It Comedy Horror 1995 Leslie Nielsen Mel Brooks Amy Yasbeck Peter MacNicol Lysette Anthony vampire satire spoof dracula
13,Balto (1995),Adventure|Animation|Children,21032.0,1995,Balto,Kevin Bacon Bob Hoskins Bridget Fonda Jim Cummings Phil Collins wolf pet cartoon villain dog-sledding race alaska dog goose bear attack dog sled cartoon wolf pets cartoon animal,Balto Adventure Animation Children 1995 Kevin Bacon Bob Hoskins Bridget Fonda Jim Cummings Phil Collins wolf pet cartoon villain dog-sledding race alaska dog goose bear attack dog sled cartoon wolf pets cartoon animal
14,Nixon (1995),Drama,10858.0,1995,Nixon,"Anthony Hopkins Joan Allen Powers Boothe Ed Harris Bob Hoskins usa president washington dc, usa government presidential election 1970s watergate scandal biography historical figure richard nixon 1960s ambiguous disapproving disdainful disheartening earnest empathetic frustrated","Nixon Drama 1995 Anthony Hopkins Joan Allen Powers Boothe Ed Harris Bob Hoskins usa president washington dc, usa government presidential election 1970s watergate scandal biography historical figure richard nixon 1960s ambiguous disapproving disdainful disheartening earnest empathetic frustrated"
15,Cutthroat Island (1995),Action|Adventure|Romance,1408.0,1995,Cutthroat Island,Geena Davis Matthew Modine Frank Langella Maury Chaykin Patrick Malahide ship treasure exotic island island map scalp treasure map sword fight betrayal pirate heroine swashbuckler adventurer pirate ship 17th century,Cutthroat Island Action Adventure Romance 1995 Geena Davis Matthew Modine Frank Langella Maury Chaykin Patrick Malahide ship treasure exotic island island map scalp treasure map sword fight betrayal pirate heroine swashbuckler adventurer pirate ship 17th century
16,Casino (1995),Crime|Drama,524.0,1995,Casino,Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles drug abuse casino based on novel or book poker italian american gambling 1970s fbi pimp greed cocaine overdose marriage car bomb rise and fall money murder organized crime mafia jewish american las vegas desert safe deposit box 1980s dramatic brutal violence fbi surveillance,Casino Crime Drama 1995 Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles drug abuse casino based on novel or book poker italian american gambling 1970s fbi pimp greed cocaine overdose marriage car bomb rise and fall money murder organized crime mafia jewish american las vegas desert safe deposit box 1980s dramatic brutal violence fbi surveillance
17,Sense and Sensibility (1995),Drama|Romance,4584.0,1995,Sense and Sensibility,"Emma Thompson Kate Winslet Alan Rickman Hugh Grant Gemma Jones secret love london, england countryside based on novel or book widow military officer servant country life pneumonia inheritance period drama rainstorm decorum horse carriage young love dowry social class 19th century penniless social elite bloodletting free spirited sussex 1800s sisters love marry for money secret engagement devonshire, england","Sense and Sensibility Drama Romance 1995 Emma Thompson Kate Winslet Alan Rickman Hugh Grant Gemma Jones secret love london, england countryside based on novel or book widow military officer servant country life pneumonia inheritance period drama rainstorm decorum horse carriage young love dowry social class 19th century penniless social elite bloodletting free spirited sussex 1800s sisters love marry for money secret engagement devonshire, england"
18,Four Rooms (1995),Comedy,5.0,1995,Four Rooms,,Four Rooms Comedy 1995 
19,Ace Ventura: When Nature Calls (1995),Comedy,9273.0,1995,Ace Ventura: When Nature Calls,Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton kidnapping africa indigenous human animal relationship bat stupidity slapstick comedy animals pets,Ace Ventura: When Nature Calls Comedy 1995 Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton kidnapping africa indigenous human animal relationship bat stupidity slapstick comedy animals pets
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,11517.0,1995,Money Train,Wesley Snipes Woody Harrelson Jennifer Lopez Robert Blake Chris Cooper new york city sibling relationship subway new york subway train robbery,Money Train Action Comedy Crime Drama Thriller 1995 Wesley Snipes Woody Harrelson Jennifer Lopez Robert Blake Chris Cooper new york city sibling relationship subway new york subway train robbery
21,Get Shorty (1995),Comedy|Crime|Thriller,8012.0,1995,Get Shorty,,Get Shorty Comedy Crime Thriller 1995 
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710.0,1995,Copycat,Sigourney Weaver Holly Hunter Dermot Mulroney William McNamara Harry Connick Jr. police brutality psychology police operation police protection psychologist serial killer cowardliness,Copycat Crime Drama Horror Mystery Thriller 1995 Sigourney Weaver Holly Hunter Dermot Mulroney William McNamara Harry Connick Jr. police brutality psychology police operation police protection psychologist serial killer cowardliness
23,Assassins (1995),Action|Crime|Thriller,9691.0,1995,Assassins,"Sylvester Stallone Antonio Banderas Julianne Moore Anatoli Davydov Muse Watson rescue central intelligence agency (cia) hitman cat bank mexican standoff seattle, washington mission of murder hidden camera rivalry shootout police chase sniper rifle detroit, michigan silencer double cross caribbean sea","Assassins Action Crime Thriller 1995 Sylvester Stallone Antonio Banderas Julianne Moore Anatoli Davydov Muse Watson rescue central intelligence agency (cia) hitman cat bank mexican standoff seattle, washington mission of murder hidden camera rivalry shootout police chase sniper rifle detroit, michigan silencer double cross caribbean sea"
24,Powder (1995),Drama|Sci-Fi,12665.0,1995,Powder,Mary Steenburgen Sean Patrick Flanery Lance Henriksen Jeff Goldblum Brandon Smith teenage boy held at gunpoint teacher student relationship albino fainting christ allegory psionic power healing power flickering light extrasensory perception pale,Powder Drama Sci-Fi 1995 Mary Steenburgen Sean Patrick Flanery Lance Henriksen Jeff Goldblum Brandon Smith teenage boy held at gunpoint teacher student relationship albino fainting christ allegory psionic power healing power flickering light extrasensory perception pale
25,Leaving Las Vegas (1995),Drama|Romance,451.0,1995,Leaving Las Vegas,,Leaving Las Vegas Drama Romance 1995 
26,Othello (1995),Drama,16420.0,1995,Othello,Laurence Fishburne Irène Jacob Kenneth Branagh Nathaniel Parker Michael Maloney jealousy based on play or musical friends shakespeare's othello the moors (people) shakespeare,Othello Drama 1995 Laurence Fishburne Irène Jacob Kenneth Branagh Nathaniel Parker Michael Maloney jealousy based on play or musical friends shakespeare's othello the moors (people) shakespeare
27,Now and Then (1995),Children|Drama,9263.0,1995,Now and Then,Christina Ricci Rosie O'Donnell Thora Birch Melanie Griffith Gaby Hoffmann 1970s female friendship coming of age gynecologist photocopier truth or dare woman director,Now and Then Children Drama 1995 Christina Ricci Rosie O'Donnell Thora Birch Melanie Griffith Gaby Hoffmann 1970s female friendship coming of age gynecologist photocopier truth or dare woman director
28,Persuasion (1995),Drama|Romance,17015.0,1995,Persuasion,Amanda Root Ciarán Hinds Susan Fleetwood Fiona Shaw John Woodvine captain based on novel or book napoleonic wars old flame admiral,Persuasion Drama Romance 1995 Amanda Root Ciarán Hinds Susan Fleetwood Fiona Shaw John Woodvine captain based on novel or book napoleonic wars old flame admiral
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902.0,1995,"City of Lost Children, The (Cité des enfants perdus, La)",Ron Perlman Dominique Pinon Judith Vittet Daniel Emilfork Jean-Claude Dreyfus rescue friendship island dreams clone dystopia eye aging steampunk childhood child kidnapping flea,"City of Lost Children, The (Cité des enfants perdus, La) Adventure Drama Fantasy Mystery Sci-Fi 1995 Ron Perlman Dominique Pinon Judith Vittet Daniel Emilfork Jean-Claude Dreyfus rescue friendship island dreams clone dystopia eye aging steampunk childhood child kidnapping flea"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,37557.0,1995,Shanghai Triad (Yao a yao yao dao waipo qiao),"Gong Li Li Baotian Sun Chun Li Xuejian Liu Jiang shanghai, china chinese mafia coming of age mistress criminal underworld drug lord triad modern china nightclub singer 1930s cabaret singer chinese triad","Shanghai Triad (Yao a yao yao dao waipo qiao) Crime Drama 1995 Gong Li Li Baotian Sun Chun Li Xuejian Liu Jiang shanghai, china chinese mafia coming of age mistress criminal underworld drug lord triad modern china nightclub singer 1930s cabaret singer chinese triad"
31,Dangerous Minds (1995),Drama,9909.0,1995,Dangerous Minds,,Dangerous Minds Drama 1995 
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,63.0,1995,Twelve Monkeys (a.k.a. 12 Monkeys),"Bruce Willis Madeleine Stowe Brad Pitt Christopher Plummer David Morse biological weapon philadelphia, pennsylvania schizophrenia stockholm syndrome airplane world war i underground insanity asylum paranoia prison cell dystopia pimp lion post-apocalyptic future time travel florida keys mental breakdown melancholy past dormitory insane asylum cockroach volunteer drug use flashback remake psychiatric hospital jail mental institution alternate history disease lethal virus paradox psychiatrist monkey epidemic trapped falling down stairs street life nonlinear timeline medical research tooth pantyhose gas mask psychosis child's point of view subterranean virus mysterious recurring dream 1990s reflective escaped animal future noir 2030s inspirational suspenseful critical intense complicated ominous","Twelve Monkeys (a.k.a. 12 Monkeys) Mystery Sci-Fi Thriller 1995 Bruce Willis Madeleine Stowe Brad Pitt Christopher Plummer David Morse biological weapon philadelphia, pennsylvania schizophrenia stockholm syndrome airplane world war i underground insanity asylum paranoia prison cell dystopia pimp lion post-apocalyptic future time travel florida keys mental breakdown melancholy past dormitory insane asylum cockroach volunteer drug use flashback remake psychiatric hospital jail mental institution alternate history disease lethal virus paradox psychiatrist monkey epidemic trapped falling down stairs street life nonlinear timeline medical research tooth pantyhose gas mask psychosis child's point of view subterranean virus mysterious recurring dream 1990s reflective escaped animal future noir 2030s inspirational suspenseful critical intense complicated ominous"
34,Babe (1995),Children|Drama,9598.0,1995,Babe,Christine Cavanaugh Miriam Margolyes Danny Mann Hugo Weaving Miriam Flynn farm sheep pig alarm clock cat duck heroism affection piglet anthropomorphism based on children's book dog separation farmer grandson sheepdog talking pig christmas,Babe Children Drama 1995 Christine Cavanaugh Miriam Margolyes Danny Mann Hugo Weaving Miriam Flynn farm sheep pig alarm clock cat duck heroism affection piglet anthropomorphism based on children's book dog separation farmer grandson sheepdog talking pig christmas
36,Dead Man Walking (1995),Crime|Drama,687.0,1995,Dead Man Walking,,Dead Man Walking Crime Drama 1995 
38,It Takes Two (1995),Children|Comedy,33689.0,1995,It Takes Two,Kirstie Alley Steve Guttenberg Ashley Olsen Mary-Kate Olsen Jane Sibbett matchmaking orphan identical twin relationship sabotage,It Takes Two Children Comedy 1995 Kirstie Alley Steve Guttenberg Ashley Olsen Mary-Kate Olsen Jane Sibbett matchmaking orphan identical twin relationship sabotage
39,Clueless (1995),Comedy|Romance,9603.0,1995,Clueless,Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd Donald Faison puberty high school based on novel or book make a match spoiled child coming of age matchmaking conflict wedding high school friends makeover woman director popular girl matchmaker gay theme match making,Clueless Comedy Romance 1995 Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd Donald Faison puberty high school based on novel or book make a match spoiled child coming of age matchmaking conflict wedding high school friends makeover woman director popular girl matchmaker gay theme match making
40,"Cry, the Beloved Country (1995)",Drama,34615.0,1995,"Cry, the Beloved Country",Richard Harris James Earl Jones Charles S. Dutton Vusi Kunene Tsholofelo Wechoemang based on novel or book south africa apartheid priest 1940s race relations,"Cry, the Beloved Country Drama 1995 Richard Harris James Earl Jones Charles S. Dutton Vusi Kunene Tsholofelo Wechoemang based on novel or book south africa apartheid priest 1940s race relations"
41,Richard III (1995),Drama|War,31174.0,1995,Richard III,,Richard III Drama War 1995 
42,Dead Presidents (1995),Action|Crime|Drama,11443.0,1995,Dead Presidents,"Larenz Tate Keith David Chris Tucker Freddy Rodríguez Rose Jackson vietnam drug abuse post-traumatic stress disorder (ptsd) war veteran redemption loss of virginity heist money revolutinoary mercy killing armored truck bronx, new york city medic 1960s","Dead Presidents Action Crime Drama 1995 Larenz Tate Keith David Chris Tucker Freddy Rodríguez Rose Jackson vietnam drug abuse post-traumatic stress disorder (ptsd) war veteran redemption loss of virginity heist money revolutinoary mercy killing armored truck bronx, new york city medic 1960s"
43,Restoration (1995),Drama,35196.0,1995,Restoration,Robert Downey Jr. Meg Ryan Sam Neill David Thewlis Hugh Grant jealousy court fountain medicine wealth spaniel gloves 17th century british monarchy,Restoration Drama 1995 Robert Downey Jr. Meg Ryan Sam Neill David Thewlis Hugh Grant jealousy court fountain medicine wealth spaniel gloves 17th century british monarchy
44,Mortal Kombat (1995),Action|Adventure|Fantasy,9312.0,1995,Mortal Kombat,Robin Shou Linden Ashby Bridgette Wilson-Sampras Christopher Lambert Cary-Hiroyuki Tagawa island martial arts monster saving the world magic villain gore god alternate dimension ninja sorcerer tournament underground fighting based on video game ghost hand to hand combat warrior action hero supernatural power mortal kombat good versus evil,Mortal Kombat Action Adventure Fantasy 1995 Robin Shou Linden Ashby Bridgette Wilson-Sampras Christopher Lambert Cary-Hiroyuki Tagawa island martial arts monster saving the world magic villain gore god alternate dimension ninja sorcerer tournament underground fighting based on video game ghost hand to hand combat warrior action hero supernatural power mortal kombat good versus evil
45,To Die For (1995),Comedy|Drama|Thriller,577.0,1995,To Die For,,To Die For Comedy Drama Thriller 1995 
46,How to Make an American Quilt (1995),Drama|Romance,11861.0,1995,How to Make an American Quilt,Winona Ryder Anne Bancroft Ellen Burstyn Kate Nelligan Jean Simmons marriage proposal wedding vows married couple marriage monogamy advice quilt love family holiday extramarital affair grandmother woman director,How to Make an American Quilt Drama Romance 1995 Winona Ryder Anne Bancroft Ellen Burstyn Kate Nelligan Jean Simmons marriage proposal wedding vows married couple marriage monogamy advice quilt love family holiday extramarital affair grandmother woman director
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807.0,1995,Seven (a.k.a. Se7en),Morgan Freeman Brad Pitt Gwyneth Paltrow John Cassini Peter Crombie rage and hate police s.w.a.t. sadism self-fulfilling prophecy psychopath detective investigation insomnia murder serial killer religion shootout corpse macabre seven deadly sins depravity neo-noir calm urban gothic ambiguous ominous seven: los siete pecados capitales,Seven (a.k.a. Se7en) Mystery Thriller 1995 Morgan Freeman Brad Pitt Gwyneth Paltrow John Cassini Peter Crombie rage and hate police s.w.a.t. sadism self-fulfilling prophecy psychopath detective investigation insomnia murder serial killer religion shootout corpse macabre seven deadly sins depravity neo-noir calm urban gothic ambiguous ominous seven: los siete pecados capitales
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,10530.0,1995,Pocahontas,,Pocahontas Animation Children Drama Musical Romance 1995 
49,When Night Is Falling (1995),Drama|Romance,8391.0,1995,When Night Is Falling,,When Night Is Falling Drama Romance 1995 
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629.0,1995,"Usual Suspects, The",,"Usual Suspects, The Crime Mystery Thriller 1995 "
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,11448.0,1995,Mighty Aphrodite,Woody Allen Mira Sorvino Helena Bonham Carter F. Murray Abraham Donald Symington prostitute adoption adoptive father childlessness looking for  birth parents adoptive mother illegal prostitution kids,Mighty Aphrodite Comedy Drama Romance 1995 Woody Allen Mira Sorvino Helena Bonham Carter F. Murray Abraham Donald Symington prostitute adoption adoptive father childlessness looking for  birth parents adoptive mother illegal prostitution kids
53,Lamerica (1994),Adventure|Drama,49133.0,1994,Lamerica,Enrico Lo Verso Michele Placido Piro Milkani Carmelo Di Mazzarelli Elida Janushi ,Lamerica Adventure Drama 1994 Enrico Lo Verso Michele Placido Piro Milkani Carmelo Di Mazzarelli Elida Janushi 
54,"Big Green, The (1995)",Children|Comedy,26441.0,1995,"Big Green, The",Olivia d'Abo Steve Guttenberg Chauncey Leopardi Patrick Renna Billy L. Sullivan sports football (soccer) woman director,"Big Green, The Children Comedy 1995 Olivia d'Abo Steve Guttenberg Chauncey Leopardi Patrick Renna Billy L. Sullivan sports football (soccer) woman director"
55,Georgia (1995),Drama,97406.0,1995,Georgia,"Jennifer Jason Leigh Mare Winningham Ted Levine Max Perlich John Doe sibling relationship alcohol heroin seattle, washington artist singer drugs folk singer sister sister relationship","Georgia Drama 1995 Jennifer Jason Leigh Mare Winningham Ted Levine Max Perlich John Doe sibling relationship alcohol heroin seattle, washington artist singer drugs folk singer sister sister relationship"
57,Home for the Holidays (1995),Drama,9089.0,1995,Home for the Holidays,,Home for the Holidays Drama 1995 
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,11010.0,1994,"Postman, The (Postino, Il)","Massimo Troisi Philippe Noiret Maria Grazia Cucinotta Renato Scarpa Linda Moretti island fisherman letter postman poet naples, italy love poverty","Postman, The (Postino, Il) Comedy Drama Romance 1994 Massimo Troisi Philippe Noiret Maria Grazia Cucinotta Renato Scarpa Linda Moretti island fisherman letter postman poet naples, italy love poverty"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,11359.0,1995,"Indian in the Cupboard, The",Hal Scardino Litefoot Lindsay Crouse Richard Jenkins Rishi Bhat based on novel or book cupboard puppet based on children's book game parallel world toy comes to life toy soldier,"Indian in the Cupboard, The Adventure Children Fantasy 1995 Hal Scardino Litefoot Lindsay Crouse Richard Jenkins Rishi Bhat based on novel or book cupboard puppet based on children's book game parallel world toy comes to life toy soldier"
61,Eye for an Eye (1996),Drama|Thriller,17182.0,1996,Eye for an Eye,,Eye for an Eye Drama Thriller 1996 
62,Mr. Holland's Opus (1995),Drama,2054.0,1995,Mr. Holland's Opus,,Mr. Holland's Opus Drama 1995 
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,10607.0,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Shawn Wayans Marlon Wayans Tracey Cherelle Jones Chris Spencer Vivica A. Fox hip-hop slang date gangster cousin parody social satire hood gang racism,Don't Be a Menace to South Central While Drinking Your Juice in the Hood Comedy Crime 1996 Shawn Wayans Marlon Wayans Tracey Cherelle Jones Chris Spencer Vivica A. Fox hip-hop slang date gangster cousin parody social satire hood gang racism
64,Two if by Sea (1996),Comedy|Romance,19760.0,1996,Two if by Sea,,Two if by Sea Comedy Romance 1996 
65,Bio-Dome (1996),Comedy,9536.0,1996,Bio-Dome,Pauly Shore Stephen Baldwin William Atherton Joey Lauren Adams Teresa Hill pollution biotope vegetarian biosphere,Bio-Dome Comedy 1996 Pauly Shore Stephen Baldwin William Atherton Joey Lauren Adams Teresa Hill pollution biotope vegetarian biosphere
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,11525.0,1996,Lawnmower Man 2: Beyond Cyberspace,Patrick Bergin Matt Frewer Austin O'Brien Ely Pouget Camille Cooper computer hacker virtual reality technology sword fight revenge cyberpunk scientist cyberspace surveillance based on short story world domination supernatural power,Lawnmower Man 2: Beyond Cyberspace Action Sci-Fi Thriller 1996 Patrick Bergin Matt Frewer Austin O'Brien Ely Pouget Camille Cooper computer hacker virtual reality technology sword fight revenge cyberpunk scientist cyberspace surveillance based on short story world domination supernatural power
68,French Twist (Gazon maudit) (1995),Comedy|Romance,4482.0,1995,French Twist (Gazon maudit),Victoria Abril Josiane Balasko Alain Chabat Ticky Holgado Catherine Hiegel estate agent van love triangle southern france menage a trois polyamory woman director,French Twist (Gazon maudit) Comedy Romance 1995 Victoria Abril Josiane Balasko Alain Chabat Ticky Holgado Catherine Hiegel estate agent van love triangle southern france menage a trois polyamory woman director
69,Friday (1995),Comedy,10634.0,1995,Friday,"Ice Cube Chris Tucker Nia Long Tommy Lister Jr. John Witherspoon drug dealer rap music parent child relationship rapper male friendship urban life slacker pot smoking bully marijuana los angeles, california drugs hilarious","Friday Comedy 1995 Ice Cube Chris Tucker Nia Long Tommy Lister Jr. John Witherspoon drug dealer rap music parent child relationship rapper male friendship urban life slacker pot smoking bully marijuana los angeles, california drugs hilarious"
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,755.0,1996,From Dusk Till Dawn,George Clooney Quentin Tarantino Harvey Keitel Juliette Lewis Ernest Liu dancing showdown sheriff sibling relationship vampire bank robber holy water siege stripper priest bank robbery preacher hostage situation crucifix recreational vehicle mexican american border female stripping boa constrictor loss of faith foot fetish killer on the run barefoot witty,From Dusk Till Dawn Action Comedy Horror Thriller 1996 George Clooney Quentin Tarantino Harvey Keitel Juliette Lewis Ernest Liu dancing showdown sheriff sibling relationship vampire bank robber holy water siege stripper priest bank robbery preacher hostage situation crucifix recreational vehicle mexican american border female stripping boa constrictor loss of faith foot fetish killer on the run barefoot witty
71,Fair Game (1995),Action,11859.0,1995,Fair Game,"William Baldwin Cindy Crawford Steven Berkoff Christopher McDonald Miguel Sandoval hacker based on novel or book miami, florida bomb chase sadism kidnapping hostage psychopath spy detective handcuffs fbi kgb pizza parking garage police protection car crash remake fugitive on the run conspiracy shootout gunfight sadist foot chase police detective police station held at gunpoint double cross machine gun grenade launcher rogue agent woman lawyer damsel in distress","Fair Game Action 1995 William Baldwin Cindy Crawford Steven Berkoff Christopher McDonald Miguel Sandoval hacker based on novel or book miami, florida bomb chase sadism kidnapping hostage psychopath spy detective handcuffs fbi kgb pizza parking garage police protection car crash remake fugitive on the run conspiracy shootout gunfight sadist foot chase police detective police station held at gunpoint double cross machine gun grenade launcher rogue agent woman lawyer damsel in distress"
72,Kicking and Screaming (1995),Comedy|Drama,28387.0,1995,Kicking and Screaming,Josh Hamilton Olivia d'Abo Chris Eigeman Parker Posey Jason Wiles friendship college male friendship campus video store graduate,Kicking and Screaming Comedy Drama 1995 Josh Hamilton Olivia d'Abo Chris Eigeman Parker Posey Jason Wiles friendship college male friendship campus video store graduate
73,"Misérables, Les (1995)",Drama|War,48750.0,1995,"Misérables, Les",,"Misérables, Les Drama War 1995 "
74,Bed of Roses (1996),Drama|Romance,20927.0,1996,Bed of Roses,Christian Slater Mary Stuart Masterson Pamela Adlon Josh Brolin Brian Tarantina florist family relationships,Bed of Roses Drama Romance 1996 Christian Slater Mary Stuart Masterson Pamela Adlon Josh Brolin Brian Tarantina florist family relationships
75,Big Bully (1996),Comedy|Drama,36929.0,1996,Big Bully,Rick Moranis Tom Arnold Julianne Phillips Carol Kane Jeffrey Tambor bully,Big Bully Comedy Drama 1996 Rick Moranis Tom Arnold Julianne Phillips Carol Kane Jeffrey Tambor bully
76,Screamers (1995),Action|Sci-Fi|Thriller,9102.0,1995,Screamers,Peter Weller Jennifer Rubin Roy Dupuis Andrew Lauer Liliana Głąbczyńska man vs machine alien planet struggle for survival android horror,Screamers Action Sci-Fi Thriller 1995 Peter Weller Jennifer Rubin Roy Dupuis Andrew Lauer Liliana Głąbczyńska man vs machine alien planet struggle for survival android horror
77,Nico Icon (1995),Documentary,124626.0,1995,Nico Icon,,Nico Icon Documentary 1995 
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,27526.0,1995,"Crossing Guard, The",,"Crossing Guard, The Action Crime Drama Thriller 1995 "
79,"Juror, The (1996)",Drama|Thriller,9623.0,1996,"Juror, The",Demi Moore Alec Baldwin Joseph Gordon-Levitt Anne Heche James Gandolfini court case jurors blackmail son trial courtroom blasphemy courtroom drama legal thriller,"Juror, The Drama Thriller 1996 Demi Moore Alec Baldwin Joseph Gordon-Levitt Anne Heche James Gandolfini court case jurors blackmail son trial courtroom blasphemy courtroom drama legal thriller"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,46785.0,1995,"White Balloon, The (Badkonake sefid)",Aida Mohammadkhani Mohsen Kafili Fereshteh Sadr Orafaee Anna Borkowska Mohammad Shahani fish money celebration goldfish,"White Balloon, The (Badkonake sefid) Children Drama 1995 Aida Mohammadkhani Mohsen Kafili Fereshteh Sadr Orafaee Anna Borkowska Mohammad Shahani fish money celebration goldfish"
